Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.65,-59,1770628801.20159,-59.80814489669267
0.65,-59,1770628801.30265,-59.805646280995916
0.65,-59,1770628801.40215,-59.80316302804124
0.65,-59,1770628801.50289,-59.80069499645407
0.65,-59,1770628801.60298,-59.79824204658918
0.65,-59,1770628801.70243,-59.79580404050435
0.65,-59,1770628801.80268,-59.79338084193446
0.65,-59,1770628801.90327,-59.790972316266085
0.65,-59,1770628802.00305,-59.788578330512564
0.65,-59,1770628802.10446,-59.78619875328947
0.65,-59,1770628802.20273,-59.783833454790575
0.65,-59,1770628802.30403,-59.78148230676422
0.65,-59,1770628802.40353,-59.7791451824901
0.65,-59,1770628802.50278,-59.776821956756486
0.65,-59,1770628802.6039,-59.77451250583785
0.65,-59,1770628802.70374,-59.772216707472865
0.65,-59,1770628802.80339,-59.769934440842825
0.65,-59,1770628802.90462,-59.76766558655041
0.65,-59,1770628803.00501,-59.76541002659886
0.65,-59,1770628803.10395,-59.76316764437149
0.65,-59,1770628803.20386,-59.760938324611594
0.65,-59,1770628803.3034,-59.75872195340264
0.65,-59,1770628803.40307,-59.75651841814888
0.65,-59,1770628803.50314,-59.75432760755624
0.65,-59,1770628803.60281,-59.75214941161359
0.65,-59,1770628803.70397,-59.749983721574274
0.65,-59,1770628803.80448,-59.74783042993805
0.65,-59,1770628803.9031,-59.74568943043322
0.65,-59,1770628804.00382,-59.74356061799917
0.65,-59,1770628804.10465,-59.74144388876917
0.65,-59,1770628804.20476,-59.739339140053424
0.65,-59,1770628804.30469,-59.7372462703225
0.65,-59,1770628804.40563,-59.73516517919094
0.65,-59,1770628804.50499,-59.73309576740123
0.65,-59,1770628804.60534,-59.73103793680797
0.65,-59,1770628804.70569,-59.72899159036237
0.65,-59,1770628804.80503,-59.72695663209694
0.65,-59,1770628804.90673,-59.72493296711054
0.65,-59,1770628805.0071,-59.72292050155352
0.65,-59,1770628805.10691,-59.72091914261327
0.65,-59,1770628805.21012,-59.7189287984999
0.65,-59,1770628805.30646,-59.71694937843221
0.65,-59,1770628805.40655,-59.714980792623855
0.65,-59,1770628805.50752,-59.71302295226976
0.65,-59,1770628805.60586,-59.711075769532755
0.65,-59,1770628805.70628,-59.70913915753042
0.65,-59,1770628805.80612,-59.707213030322166
0.65,-59,1770628805.9061,-59.70529730289647
0.65,-59,1770628806.00615,-59.70339189115839
0.65,-59,1770628806.10604,-59.70149671191722
0.65,-59,1770628806.20638,-59.6996116828744
0.65,-59,1770628806.30593,-59.697736722611545
0.65,-59,1770628806.40825,-59.695871750578746
