Distance_m,RSSI_dBm,Timestamp
0.35,-54,1770628497.9814500
0.35,-54,1770628497.9815100
0.35,-53,1770628497.9815800
0.35,-53,1770628497.9816400
0.35,-53,1770628497.9817100
0.35,-54,1770628497.9817700
0.35,-54,1770628497.981840
0.35,-53,1770628497.981900
0.35,-53,1770628497.9819600
0.35,-53,1770628497.9820300
0.35,-54,1770628497.9820900
0.35,-54,1770628497.9821500
0.35,-54,1770628497.9822200
0.35,-55,1770628497.9822800
0.35,-55,1770628497.982350
0.35,-54,1770628497.9824100
0.35,-55,1770628497.982480
0.35,-55,1770628497.9825400
0.35,-55,1770628497.982600
0.35,-55,1770628497.9826800
0.35,-55,1770628497.9827400
0.35,-55,1770628497.9828200
0.35,-55,1770628497.9829700
0.35,-55,1770628497.983080
0.35,-54,1770628497.9831800
0.35,-55,1770628497.9832900
0.35,-54,1770628497.9833900
0.35,-54,1770628497.9834800
0.35,-54,1770628497.9835800
0.35,-54,1770628497.9836800
0.35,-54,1770628497.9837800
0.35,-54,1770628497.983890
0.35,-54,1770628497.9839800
0.35,-54,1770628497.9840800
0.35,-54,1770628497.9841700
0.35,-54,1770628497.9842300
0.35,-54,1770628497.984300
0.35,-54,1770628497.9843600
0.35,-55,1770628497.9844300
0.35,-55,1770628497.9844900
0.35,-55,1770628497.98457
0.35,-53,1770628497.9846300
0.35,-54,1770628497.984700
0.35,-54,1770628497.984760
0.35,-55,1770628497.9848200
0.35,-60,1770628497.9848900
0.35,-64,1770628497.9849500
0.35,-64,1770628497.9850100
0.35,-63,1770628497.9850800
0.35,-66,1770628497.9851500
0.35,-67,1770628497.9852200
0.35,-67,1770628497.9852900
0.35,-67,1770628497.9853600
0.35,-68,1770628497.9854300
0.35,-69,1770628497.985510
0.35,-69,1770628497.9855800
0.35,-67,1770628497.9856500
0.35,-66,1770628497.9857400
0.35,-64,1770628497.9858000
0.35,-63,1770628497.9858700
0.35,-61,1770628497.9859300
0.35,-62,1770628497.9859900
0.35,-63,1770628497.9860600
0.35,-63,1770628497.9861200
0.35,-64,1770628497.9861800
0.35,-65,1770628497.986250
0.35,-62,1770628497.9863100
0.35,-60,1770628497.9863800
0.35,-58,1770628497.986440
0.35,-58,1770628497.9865000
0.35,-58,1770628497.9865800
0.35,-58,1770628497.9866400
0.35,-58,1770628497.9867000
0.35,-58,1770628497.9867700
0.35,-58,1770628497.9868300
0.35,-58,1770628497.986890
0.35,-58,1770628497.9869600
0.35,-59,1770628497.9870200
0.35,-59,1770628497.9870800
0.35,-61,1770628497.9871400
0.35,-62,1770628497.987210
0.35,-61,1770628497.9872700
0.35,-60,1770628497.9873300
0.35,-63,1770628497.9874000
0.35,-72,1770628497.987470
0.35,-74,1770628497.987530
0.35,-64,1770628497.9875900
0.35,-66,1770628497.9876600
0.35,-63,1770628497.9877200
0.35,-62,1770628497.9877800
0.35,-61,1770628497.9878500
0.35,-60,1770628497.9879100
0.35,-58,1770628497.9879700
0.35,-57,1770628497.9880400
0.35,-57,1770628497.9881000
0.35,-57,1770628497.988160
0.35,-57,1770628497.9882300
0.35,-57,1770628497.9882900
0.35,-57,1770628497.9883500
0.35,-57,1770628497.988410
0.35,-58,1770628497.9884800
0.35,-58,1770628497.988550
0.35,-60,1770628497.9886100
0.35,-60,1770628497.9886800
0.35,-60,1770628497.988740
0.35,-60,1770628497.9888100
0.35,-61,1770628497.9888800
0.35,-61,1770628497.9889400
0.35,-63,1770628497.989000
0.35,-70,1770628497.9890700
0.35,-67,1770628497.9891300
0.35,-70,1770628497.989190
0.35,-70,1770628497.989250
0.35,-66,1770628497.9893200
0.35,-65,1770628497.9893800
0.35,-68,1770628497.9894400
0.35,-66,1770628497.9895100
0.35,-66,1770628497.9895700
0.35,-66,1770628497.9896300
0.35,-65,1770628497.9896900
0.35,-65,1770628497.9897600
0.35,-70,1770628497.9898200
0.35,-61,1770628497.989990
0.35,-58,1770628497.9900500
0.35,-60,1770628497.9901200
0.35,-59,1770628497.9901800
0.35,-57,1770628497.990240
0.35,-57,1770628497.990300
0.35,-58,1770628497.9903700
0.35,-61,1770628497.9904400
0.35,-69,1770628497.9905000
0.35,-77,1770628497.9905700
0.35,-68,1770628497.9906400
0.35,-66,1770628497.9907
0.35,-60,1770628497.9907600
0.35,-59,1770628497.9908300
0.35,-61,1770628497.990890
0.35,-63,1770628497.9909500
0.35,-66,1770628497.991020
0.35,-65,1770628497.9910800
0.35,-69,1770628497.9911400
0.35,-72,1770628497.9912100
0.35,-67,1770628497.991270
0.35,-62,1770628497.991330
0.35,-59,1770628497.9914000
0.35,-59,1770628497.991460
0.35,-56,1770628497.991520
0.35,-56,1770628497.9915900
0.35,-56,1770628497.991650
0.35,-57,1770628497.9917200
0.35,-57,1770628497.9917800
0.35,-57,1770628497.9918500
0.35,-56,1770628497.9919100
0.35,-56,1770628497.9919700
0.35,-56,1770628497.992030
0.35,-56,1770628497.9921000
0.35,-57,1770628497.9921600
0.35,-58,1770628497.9922200
0.35,-57,1770628497.9922900
0.35,-57,1770628497.9923500
0.35,-56,1770628497.9924100
0.35,-56,1770628497.9924800
0.35,-57,1770628497.9925400
0.35,-56,1770628497.9926100
0.35,-56,1770628497.992670
0.35,-56,1770628497.9927400
0.35,-57,1770628497.992800
0.35,-57,1770628497.992860
0.35,-58,1770628497.9929300
0.35,-57,1770628497.9929900
0.35,-57,1770628497.993050
0.35,-57,1770628497.9931200
0.35,-56,1770628497.9931800
0.35,-57,1770628497.993240
0.35,-57,1770628497.9933100
0.35,-57,1770628497.9933700
0.35,-57,1770628497.9934300
0.35,-54,1770628497.9935000
0.35,-54,1770628497.99356
0.35,-55,1770628497.9936200
0.35,-55,1770628497.9936900
0.35,-55,1770628497.9937500
0.35,-54,1770628497.9938100
0.35,-55,1770628497.993880
0.35,-55,1770628497.9939400
0.35,-55,1770628497.9940000
0.35,-55,1770628497.9940700
0.35,-55,1770628497.9941300
0.35,-54,1770628497.9942000
0.35,-55,1770628497.994270
0.35,-55,1770628497.9943300
0.35,-55,1770628497.994390
0.35,-55,1770628497.994460
0.35,-55,1770628497.9945200
0.35,-55,1770628497.994590
0.35,-55,1770628497.9946500
0.35,-55,1770628497.9947200
0.35,-55,1770628497.9948
0.35,-55,1770628497.994860
0.35,-55,1770628497.9949300
0.35,-55,1770628497.994990
0.35,-55,1770628497.9950500
0.35,-54,1770628498.001360
0.35,-54,1770628498.102360
0.35,-54,1770628498.2031900
0.35,-55,1770628498.3031600
0.35,-55,1770628498.4033200
0.35,-55,1770628498.5044200
0.35,-54,1770628498.6051600
0.35,-55,1770628498.7052900
0.35,-55,1770628498.804980
0.35,-54,1770628498.9061900
0.35,-54,1770628499.005550
0.35,-55,1770628499.1066500
0.35,-55,1770628499.205650
0.35,-55,1770628499.3046800
0.35,-55,1770628499.4053900
0.35,-55,1770628499.5054400
0.35,-55,1770628499.6052400
0.35,-55,1770628499.7055400
0.35,-55,1770628499.805230
0.35,-55,1770628499.9058400
0.35,-55,1770628500.005190
0.35,-55,1770628500.1055900
0.35,-55,1770628500.204280
0.35,-55,1770628500.305650
0.35,-55,1770628500.4052800
0.35,-55,1770628500.5055300
0.35,-55,1770628500.604240
0.35,-55,1770628500.705330
0.35,-55,1770628500.804430
0.35,-55,1770628500.904370
0.35,-55,1770628501.0053300
0.35,-55,1770628501.1063500
0.35,-55,1770628501.206700
0.35,-55,1770628501.3069600
0.35,-55,1770628501.4076000
0.35,-55,1770628501.5067500
0.35,-55,1770628501.6073400
0.35,-55,1770628501.7063600
0.35,-55,1770628501.8072800
0.35,-55,1770628501.906640
0.35,-55,1770628502.0076300
0.35,-55,1770628502.108190
0.35,-55,1770628502.2074700
0.35,-55,1770628502.3084100
0.35,-55,1770628502.4091
0.35,-55,1770628502.5100800
0.35,-55,1770628502.6096700
